SCFraction Space sdtev
0.01 0.0 0.0 
0.02 0.0 0.0 
0.03 0.0 0.0 
0.04 0.0 0.0 
0.05 0.0 0.0 
0.06 0.0 0.0 
0.07 0.0 0.0 
0.08 0.0 0.0 
0.09 0.0 0.0 
0.1 0.0 0.0 
0.11 0.0 0.0 
0.12 0.0 0.0 
0.13 0.0 0.0 
0.14 0.0 0.0 
0.15 0.0 0.0 
0.16 0.0 0.0 
0.17 0.0 0.0 
0.18 0.0 0.0 
0.19 0.0 0.0 
0.2 0.0 0.0 
0.21 0.0 0.0 
0.22 0.0 0.0 
0.23 0.0 0.0 
0.24 0.0 0.0 
0.25 0.0 0.0 
0.26 0.0 0.0 
0.27 0.0 0.0 
0.28 0.0 0.0 
0.29 0.0 0.0 
0.3 0.0 0.0 
0.31 0.0 0.0 
0.32 0.0 0.0 
0.33 0.0 0.0 
0.34 0.0 0.0 
0.35 0.0 0.0 
0.36 0.0 0.0 
0.37 0.0 0.0 
0.38 0.0 0.0 
0.39 0.0 0.0 
0.4 0.0 0.0 
0.41 0.0 0.0 
0.42 0.0 0.0 
0.43 0.0 0.0 
0.44 0.0 0.0 
0.45 0.0 0.0 
0.46 0.0 0.0 
0.47 0.0 0.0 
0.48 0.0 0.0 
0.49 0.0 0.0 
0.5 0.0 0.0 


SCFraction SC sdtev
0.01 2.0551681518554688E-5 1.3503545076269103E-5 
0.02 7.936954498291015E-5 3.5456690550598095E-5 
0.03 2.6427507400512696E-4 1.1476286353875881E-4 
0.04 7.047891616821289E-4 2.4336778821858318E-4 
0.05 0.0016478538513183595 4.237518944818717E-4 
0.06 0.0031611800193786623 4.873061331407539E-4 
0.07 0.006193125247955322 8.407313462453481E-4 
0.08 0.010882842540740966 0.0013396962559841254 
0.09 0.018967700004577637 0.002309974702797773 
0.1 0.02857551574707031 0.002617990095783221 
0.11 0.04324095249176026 0.0049554028241756455 
0.12 0.06085842847824097 0.005628824541953925 
0.13 0.0826111078262329 0.010483015363841528 
0.14 0.09942169189453125 0.006902995157863994 
0.15 0.11879825592041016 0.008126776034915198 
0.16 0.13771919012069703 0.00771952197725001 
0.17 0.1540832042694092 0.0058223907835796285 
0.18 0.16729648113250734 0.004489169451189478 
0.19 0.18204216957092284 0.003249967730844389 
0.2 0.19309470653533936 0.0033310250718529694 
0.21 0.20502853393554688 0.00321122526581717 
0.22 0.21747255325317383 0.0014349705974450512 
0.23 0.22801647186279297 0.0018330488769889327 
0.24 0.2390064239501953 9.62657505020629E-4 
0.25 0.24902992248535155 0.001155694063008243 
0.26 0.2588237762451172 0.0014573665858925772 
0.27 0.26951141357421876 5.310650496548647E-4 
0.28 0.2794788360595703 7.297477981343363E-4 
0.29 0.28945121765136717 7.008979673860036E-4 
0.3 0.2998046875 0.0 
0.31 0.3096427917480469 5.211021678289331E-4 
0.32 0.31968274116516116 6.166864950726214E-4 
0.33 0.329833984375 0.0 
0.34 0.33984375 0.0 
0.35 0.3497928619384766 2.6438329009206173E-4 
0.36 0.35986328125 0.0 
0.37 0.369873046875 0.0 
0.38 0.3798828125 0.0 
0.39 0.389892578125 0.0 
0.4 0.39990234375 0.0 
0.41 0.409912109375 0.0 
0.42 0.419921875 0.0 
0.43 0.429931640625 0.0 
0.44 0.43994140625 0.0 
0.45 0.449951171875 0.0 
0.46 0.4599609375 0.0 
0.47 0.469970703125 0.0 
0.48 0.47998046875 0.0 
0.49 0.489990234375 0.0 
0.5 0.5 0.0 


SCFraction TA1 sdtev
0.01 1.7189979553222655E-5 8.666408766415134E-6 
0.02 6.661415100097656E-5 3.21111326310075E-5 
0.03 1.833319664001465E-4 6.929669838649965E-5 
0.04 4.863262176513672E-4 1.6762041221514952E-4 
0.05 0.0012290477752685547 2.9421816752881E-4 
0.06 0.002393805980682373 5.006323365465196E-4 
0.07 0.004849541187286377 0.0011392897886183572 
0.08 0.008387839794158936 0.001807386268070805 
0.09 0.01551072597503662 0.002497115104625868 
0.1 0.02375502586364746 0.004472420407803135 
0.11 0.040647578239440915 0.008270576529892437 
0.12 0.0571632981300354 0.009835329134728212 
0.13 0.08475086688995362 0.01977311941257866 
0.14 0.10076179504394531 0.014962137398864138 
0.15 0.12047171592712402 0.01491530424977273 
0.16 0.14246100187301636 0.014705035596957334 
0.17 0.1566542148590088 0.012969808539873855 
0.18 0.1626539945602417 0.010556945798595936 
0.19 0.1776059627532959 0.010026354172969987 
0.2 0.18093554973602294 0.008641409551705255 
0.21 0.18907995223999025 0.007872707238281347 
0.22 0.1942418098449707 0.007203616355990604 
0.23 0.1955514907836914 0.008026881986623718 
0.24 0.20215492248535155 0.006667213153038104 
0.25 0.2042072296142578 0.005213480908723438 
0.26 0.2048065185546875 0.004474795111965786 
0.27 0.20764312744140626 0.005706244254174343 
0.28 0.21003150939941406 0.005542222868429109 
0.29 0.21167030334472656 0.007156743149805757 
0.3 0.21156005859375 0.005103342093471253 
0.31 0.21032180786132812 0.005576517047236774 
0.32 0.2123436450958252 0.006452921337132597 
0.33 0.21456298828125 0.005283980955730606 
0.34 0.2131591796875 0.005145462774404686 
0.35 0.2143627166748047 0.006609664417384695 
0.36 0.21131591796875 0.004967211863124876 
0.37 0.21383056640625 0.005662417995204292 
0.38 0.20987548828125 0.0068751816292095935 
0.39 0.2107666015625 0.00624260464875051 
0.4 0.20802001953125 0.005408954693505708 
0.41 0.20885009765625 0.007059200680873552 
0.42 0.205810546875 0.005089029195721639 
0.43 0.20567626953125 0.0039626625713601125 
0.44 0.20457763671875 0.00511384286848747 
0.45 0.2021728515625 0.00750385979832162 
0.46 0.19903564453125 0.004930114509962544 
0.47 0.20157470703125 0.0066638652061244 
0.48 0.1990478515625 0.005031370457694491 
0.49 0.195263671875 0.004214944889527769 
0.5 0.193701171875 0.005808494910789225 


SCFraction TA2 sdtev
0.01 3.123283386230469E-5 1.1961391443835194E-5 
0.02 1.3003349304199218E-4 7.151493947130214E-5 
