SCFraction Space sdtev
0.01 0.0 0.0 
0.02 0.0 0.0 
0.03 0.0 0.0 
0.04 0.0 0.0 
0.05 0.0 0.0 
0.06 0.0 0.0 
0.07 0.0 0.0 
0.08 0.0 0.0 
0.09 0.0 0.0 
0.1 0.0 0.0 
0.11 0.0 0.0 
0.12 0.0 0.0 
0.13 0.0 0.0 
0.14 0.0 0.0 
0.15 0.0 0.0 
0.16 0.0 0.0 
0.17 0.0 0.0 
0.18 0.0 0.0 
0.19 0.0 0.0 
0.2 0.0 0.0 
0.21 0.0 0.0 
0.22 0.0 0.0 
0.23 0.0 0.0 
0.24 0.0 0.0 
0.25 0.0 0.0 
0.26 0.0 0.0 
0.27 0.0 0.0 
0.28 0.0 0.0 
0.29 0.0 0.0 
0.3 0.0 0.0 
0.31 0.0 0.0 
0.32 0.0 0.0 
0.33 0.0 0.0 
0.34 0.0 0.0 
0.35 0.0 0.0 
0.36 0.0 0.0 
0.37 0.0 0.0 
0.38 0.0 0.0 
0.39 0.0 0.0 
0.4 0.0 0.0 
0.41 0.0 0.0 
0.42 0.0 0.0 
0.43 0.0 0.0 
0.44 0.0 0.0 
0.45 0.0 0.0 
0.46 0.0 0.0 
0.47 0.0 0.0 
0.48 0.0 0.0 
0.49 0.0 0.0 
0.5 0.0 0.0 


SCFraction SC sdtev
0.01 0.9562500000000002 0.030490777294118858 
0.02 0.919135802469136 0.037542842467983395 
0.03 0.8381147540983607 0.03719135277603649 
0.04 0.7723926380368098 0.03908606242011429 
0.05 0.6879901960784313 0.021494692799191396 
0.06 0.6157142857142859 0.029185100578776352 
0.07 0.5346153846153846 0.0402158706257039 
0.08 0.4542813455657492 0.025539745785379597 
0.09 0.3873641304347827 0.02614174217747671 
0.1 0.31968215158924196 0.02691569542335584 
0.11 0.25011111111111106 0.023438651206295864 
0.12 0.19185336048879836 0.020735958266737808 
0.13 0.13778195488721806 0.03394978300974101 
0.14 0.10157068062827226 0.022251137801758025 
0.15 0.07410423452768732 0.02167715121663366 
0.16 0.047786259541984726 0.01963539222175991 
0.17 0.028376436781609192 0.01242525379592904 
0.18 0.022184531886024424 0.009294932094683399 
0.19 0.011568123393316195 0.006217679497402479 
0.2 0.009706959706959705 0.006373521114031255 
0.21 0.007383720930232558 0.005920820163758888 
0.22 0.00344062153163152 0.0029966703662597117 
0.23 0.003025477707006369 0.0037272335167857253 
0.24 0.0013224821973550354 0.001643488750905749 
0.25 0.001318359375 0.001727025310920644 
0.26 9.398496240601503E-4 0.0015154619827628852 
0.27 4.524886877828054E-4 9.704801171731773E-4 
0.28 2.617801047120419E-4 7.853403141361257E-4 
0.29 1.2636899747262004E-4 4.01827801776304E-4 
0.3 0.0 0.0 
0.31 1.5760441292356187E-4 5.344625676221645E-4 
0.32 1.1450381679389314E-4 4.991105660542756E-4 
0.33 0.0 0.0 
0.34 0.0 0.0 
0.35 6.978367062107467E-5 3.041799681465927E-4 
0.36 0.0 0.0 
0.37 0.0 0.0 
0.38 0.0 0.0 
0.39 0.0 0.0 
0.4 0.0 0.0 
0.41 0.0 0.0 
0.42 0.0 0.0 
0.43 0.0 0.0 
0.44 0.0 0.0 
0.45 0.0 0.0 
0.46 0.0 0.0 
0.47 0.0 0.0 
0.48 0.0 0.0 
0.49 0.0 0.0 
0.5 0.0 0.0 


SCFraction TA1 sdtev
0.01 0.9847049142556203 0.0217983381629398 
0.02 0.9630757413380518 0.024221849124833467 
0.03 0.9096255875295467 0.02173697333114146 
0.04 0.8734661467575433 0.025901846491207213 
0.05 0.8045102449776943 0.018435612264387967 
0.06 0.7460952535738196 0.02265472590049417 
0.07 0.6642874026978673 0.03262039230013215 
0.08 0.5878972755476801 0.03697312383460538 
0.09 0.5032979487294206 0.03336831510863686 
0.1 0.4286945391466208 0.03416821779056947 
0.11 0.3261706584820373 0.0406787435081295 
0.12 0.234294993063197 0.03194633590658959 
0.13 0.15698477305225936 0.050633375618568566 
0.14 0.11572273989713622 0.0355121652374685 
0.15 0.07533403176211363 0.027257365690676265 
0.16 0.04646399276428666 0.01679049952181231 
0.17 0.029970905967102814 0.013505912105260219 
0.18 0.02263957342081753 0.009432527844048483 
0.19 0.0115950028043444 0.00776260274185152 
0.2 0.010370202603880805 0.006519823372198235 
0.21 0.006614699622010357 0.005035267045451611 
0.22 0.003973596572694541 0.0031830213768286727 
0.23 0.0034993235425666335 0.003816099446643893 
0.24 0.002008644789307884 0.0025988596717761293 
0.25 0.0012124325093724236 0.0021257825425836374 
0.26 9.600117687604947E-4 0.0018707665646653293 
0.27 4.1877992722856686E-4 0.0010201296163409787 
0.28 5.271367784665502E-4 0.0014496268065256352 
0.29 4.7336546780373255E-4 0.001376878834003117 
0.3 0.0 0.0 
0.31 1.7964071856287425E-4 7.830357383606E-4 
0.32 1.6483516483516484E-4 7.184998258583528E-4 
0.33 0.0 0.0 
0.34 0.0 0.0 
0.35 1.7626321974148062E-4 7.683135623162174E-4 
0.36 0.0 0.0 
0.37 0.0 0.0 
0.38 0.0 0.0 
0.39 0.0 0.0 
0.4 0.0 0.0 
0.41 0.0 0.0 
0.42 0.0 0.0 
0.43 0.0 0.0 
0.44 0.0 0.0 
0.45 0.0 0.0 
0.46 0.0 0.0 
0.47 0.0 0.0 
0.48 0.0 0.0 
0.49 0.0 0.0 
0.5 0.0 0.0 


SCFraction TA2 sdtev
0.01 0.9797489977504652 0.02133230753543548 
0.02 0.9443038262841936 0.02303275023837204 
0.03 0.8985542321539866 0.019408284747521952 
0.04 0.8327754486393599 0.025395155230836786 
0.05 0.7684372463155984 0.02766917853429549 
0.06 0.6935897014271573 0.02899932037180997 
0.07 0.6188628766443974 0.03217772180168031 
0.08 0.5423574213941398 0.036348481266328274 
0.09 0.46505583963999547 0.037200611893729835 
0.1 0.3944342012766723 0.025485908363645247 
0.11 0.30308256600736544 0.031124102277887353 
0.12 0.22733166609619007 0.029529574283650443 
