SCFraction Space sdtev
0.01 0.0 0.0 
0.02 0.0 0.0 
0.03 0.0 0.0 
0.04 0.0 0.0 
0.05 0.0 0.0 
0.06 0.0 0.0 
0.07 0.0 0.0 
0.08 0.0 0.0 
0.09 0.0 0.0 
0.1 0.0 0.0 
0.11 0.0 0.0 
0.12 0.0 0.0 
0.13 0.0 0.0 
0.14 0.0 0.0 
0.15 0.0 0.0 
0.16 0.0 0.0 
0.17 0.0 0.0 
0.18 0.0 0.0 
0.19 0.0 0.0 
0.2 0.0 0.0 
0.21 0.0 0.0 
0.22 0.0 0.0 
0.23 0.0 0.0 
0.24 0.0 0.0 
0.25 0.0 0.0 
0.26 0.0 0.0 
0.27 0.0 0.0 
0.28 0.0 0.0 
0.29 0.0 0.0 
0.3 0.0 0.0 
0.31 0.0 0.0 
0.32 0.0 0.0 
0.33 0.0 0.0 
0.34 0.0 0.0 
0.35 0.0 0.0 
0.36 0.0 0.0 
0.37 0.0 0.0 
0.38 0.0 0.0 
0.39 0.0 0.0 
0.4 0.0 0.0 
0.41 0.0 0.0 
0.42 0.0 0.0 
0.43 0.0 0.0 
0.44 0.0 0.0 
0.45 0.0 0.0 
0.46 0.0 0.0 
0.47 0.0 0.0 
0.48 0.0 0.0 
0.49 0.0 0.0 
0.5 0.0 0.0 


SCFraction SC sdtev
0.01 0.009765625 0.0 
0.02 0.019775390625 0.0 
0.03 0.02978515625 0.0 
0.04 0.039794921875 0.0 
0.05 0.0498046875 0.0 
0.06 0.059814453125 0.0 
0.07 0.06982421875 0.0 
0.08 0.079833984375 0.0 
0.09 0.08984375 0.0 
0.1 0.099853515625 0.0 
0.11 0.10986328125 0.0 
0.12 0.119873046875 0.0 
0.13 0.1298828125 0.0 
0.14 0.139892578125 0.0 
0.15 0.14990234375 0.0 
0.16 0.159912109375 0.0 
0.17 0.169921875 0.0 
0.18 0.179931640625 0.0 
0.19 0.18994140625 0.0 
0.2 0.199951171875 0.0 
0.21 0.2099609375 0.0 
0.22 0.219970703125 0.0 
0.23 0.22998046875 0.0 
0.24 0.239990234375 0.0 
0.25 0.25 0.0 
0.26 0.259765625 0.0 
0.27 0.269775390625 0.0 
0.28 0.27978515625 0.0 
0.29 0.289794921875 0.0 
0.3 0.2998046875 0.0 
0.31 0.309814453125 0.0 
0.32 0.31982421875 0.0 
0.33 0.329833984375 0.0 
0.34 0.33984375 0.0 
0.35 0.349853515625 0.0 
0.36 0.35986328125 0.0 
0.37 0.369873046875 0.0 
0.38 0.3798828125 0.0 
0.39 0.389892578125 0.0 
0.4 0.39990234375 0.0 
0.41 0.409912109375 0.0 
0.42 0.419921875 0.0 
0.43 0.429931640625 0.0 
0.44 0.43994140625 0.0 
0.45 0.449951171875 0.0 
0.46 0.4599609375 0.0 
0.47 0.469970703125 0.0 
0.48 0.47998046875 0.0 
0.49 0.489990234375 0.0 
0.5 0.5 0.0 


SCFraction TA1 sdtev
0.01 0.0095703125 2.392079826936176E-4 
0.02 0.01884765625 9.089116439934602E-4 
0.03 0.02724609375 0.0012020052368253043 
0.04 0.03515625 0.0015822120845722315 
0.05 0.0419677734375 0.002136614083859595 
0.06 0.04990234375 0.0017830624645028923 
0.07 0.05718994140625 0.0030832119264843417 
0.08 0.06199951171875 0.0025773607913146157 
0.09 0.07020263671875 0.003395639780687443 
0.1 0.07724609375 0.0045885449458907225 
0.11 0.08875732421875 0.005571262851021534 
0.12 0.09869384765625 0.007621675782925673 
0.13 0.1181396484375 0.013353822680886787 
0.14 0.1288818359375 0.010488077797506013 
0.15 0.14127197265625 0.010205333651761498 
0.16 0.1573486328125 0.01081146098530532 
0.17 0.16693115234375 0.009533331909435155 
0.18 0.17086181640625 0.008994942131322802 
0.19 0.18272705078125 0.008610059693624461 
0.2 0.185302734375 0.007074603891236084 
0.21 0.19217529296875 0.006664312413886258 
0.22 0.1957275390625 0.0070064956635576174 
0.23 0.19664306640625 0.007257785875088144 
0.24 0.20279541015625 0.006312947380151454 
0.25 0.20479736328125 0.00492491310449608 
0.26 0.205322265625 0.004413479116592763 
0.27 0.207763671875 0.00564382159250008 
0.28 0.2102294921875 0.00543666692907174 
0.29 0.2118408203125 0.0069719569606229905 
0.3 0.21156005859375 0.005103342093471253 
0.31 0.21044921875 0.005403731625040723 
0.32 0.21243896484375 0.00658196740727923 
0.33 0.21456298828125 0.005283980955730606 
0.34 0.2131591796875 0.005145462774404686 
0.35 0.2144287109375 0.006536452051491779 
0.36 0.21131591796875 0.004967211863124876 
0.37 0.21383056640625 0.005662417995204292 
0.38 0.20987548828125 0.0068751816292095935 
0.39 0.2107666015625 0.00624260464875051 
0.4 0.20802001953125 0.005408954693505708 
0.41 0.20885009765625 0.007059200680873552 
0.42 0.205810546875 0.005089029195721639 
0.43 0.20567626953125 0.0039626625713601125 
0.44 0.20457763671875 0.00511384286848747 
0.45 0.2021728515625 0.00750385979832162 
0.46 0.19903564453125 0.004930114509962544 
0.47 0.20157470703125 0.0066638652061244 
0.48 0.1990478515625 0.005031370457694491 
0.49 0.195263671875 0.004214944889527769 
0.5 0.193701171875 0.005808494910789225 


SCFraction TA2 sdtev
0.01 0.01904296875 6.505328415270786E-4 
0.02 0.03768310546875 0.0019382290237691618 
0.03 0.056494140625 0.0023511135141608126 
0.04 0.07303466796875 0.0031181976670183274 
0.05 0.09078369140625 0.004100018165129427 
0.06 0.1051513671875 0.0040918871885543455 
0.07 0.11988525390625 0.004768857641242557 
0.08 0.13404541015625 0.00542875377942125 
0.09 0.15135498046875 0.007735242313344744 
0.1 0.1662353515625 0.0073388119592068 
0.11 0.187841796875 0.010585234784102258 
0.12 0.2091552734375 0.011382060071259196 
0.13 0.23260498046875 0.020843644372080555 
0.14 0.2447998046875 0.015041935633881403 
0.15 0.258642578125 0.01533222562824624 
0.16 0.2675537109375 0.014525833761213868 
0.17 0.27728271484375 0.007892154885215209 
0.18 0.28006591796875 0.009653986829207655 
